painting_index,Season-Episode,painting_title,colors,color_hex
282,S01E01,A Walk in the Woods,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15
283,S01E02,Mt McKinley,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15
284,S01E03,Ebony Sunset,Alizarin Crimson | Black Gesso | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #000000 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15
285,S01E04,Winter Mist,Prussian Blue | Titanium White | Van Dyke Brown,#021E44 | #FFFFFF | #221B15
286,S01E05,Quiet Stream,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15
287,S01E06,Winter Moon,Black Gesso | Prussian Blue | Titanium White | Van Dyke Brown,#000000 | #021E44 | #FFFFFF | #221B15
288,S01E07,Autumn Mountain,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15
289,S01E08,Peaceful Valley,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15
290,S01E09,Seascape,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15
291,S01E10,Mountain Lake,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15
292,S01E11,Winter Glow,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15
293,S01E12,Snow Fall,Alizarin Crimson | Prussian Blue | Titanium White | Van Dyke Brown,#4E1500 | #021E44 | #FFFFFF | #221B15
294,S01E13,Final Reflections,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15
269,S02E01,Meadow Lake,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
270,S02E02,Winter Sun,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
271,S02E03,Ebony Sea,Alizarin Crimson | Black Gesso | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
272,S02E04,Shades of Grey,Prussian Blue | Titanium White | Van Dyke Brown,#021E44 | #FFFFFF | #221B15
273,S02E05,Autumn Splendor,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
274,S02E06,Black River,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
275,S02E07,Brown Mountain,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
276,S02E08,Reflections,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
277,S02E09,Black and White Seascape,Alizarin Crimson | Black Gesso | Bright Red | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #DB0000 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
278,S02E10,Lazy River,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
279,S02E11,Black Waterfall,Alizarin Crimson | Black Gesso | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
280,S02E12,Mountain Waterfall,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
281,S02E13,Final Grace,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
256,S03E01,Mountain Retreat,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
257,S03E02,Blue Moon,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
258,S03E03,Bubbling Stream,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
259,S03E04,Winter Night,Alizarin Crimson | Bright Red | Cadmium Yellow | Liquid Black | Phthalo Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #000000 | #102E3C | #FFFFFF | #221B15
260,S03E05,Distant Hills,Alizarin Crimson | Burnt Umber | Cadmium Yellow | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #8A3324 | #FFEC00 | #0A3410 | #FFFFFF | #221B15 | #C79B00
261,S03E06,Covered Bridge,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Midnight Black | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #000000 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
262,S03E07,Quiet Inlet,Alizarin Crimson | Burnt Umber | Cadmium Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #8A3324 | #FFEC00 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
263,S03E08,Night Light,Alizarin Crimson | Black Gesso | Burnt Umber | Cadmium Yellow | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #8A3324 | #FFEC00 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
264,S03E09,The Old Mill,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
265,S03E10,Campfire,Alizarin Crimson | Black Gesso | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #221B15 | #C79B00
266,S03E11,Rustic Barn,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
267,S03E12,Hidden Lake,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
268,S03E13,Peaceful Waters,Alizarin Crimson | Cadmium Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #FFEC00 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
243,S04E01,Purple Splendor,Alizarin Crimson | Phthalo Blue | Titanium White | Van Dyke Brown,#4E1500 | #0C0040 | #FFFFFF | #221B15
244,S04E02,Tranquil Valley,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00
245,S04E03,Majestic Mountains,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
246,S04E04,Winter Sawscape,Black Gesso | Bright Red | Burnt Umber | Cadmium Yellow | Midnight Black | Prussian Blue | Titanium White,#000000 | #DB0000 | #8A3324 | #FFEC00 | #000000 | #021E44 | #FFFFFF
247,S04E05,Evening Seascape,Alizarin Crimson | Black Gesso | Bright Red | Burnt Umber | Cadmium Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Titanium White | Van Dyke Brown,#4E1500 | #000000 | #DB0000 | #8A3324 | #FFEC00 | #0C0040 | #102E3C | #021E44 | #FFFFFF | #221B15
248,S04E06,Warm Summer Day,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
249,S04E07,Cabin in the Woods,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
250,S04E08,Wetlands,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
251,S04E09,Cool Waters,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
252,S04E10,Quiet Woods,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
253,S04E11,Northwest Majesty,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Liquid Black | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #000000 | #021E44 | #0A3410 | #FFFFFF | #221B15
